"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"H1,H2,H3,H4";"MountingHole_3.2mm_M3";4;"MountingHole";;;
2;"C1";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"100 uF";;;
3;"C2,C3";"C_1806_4516Metric_Pad1.57x1.80mm_HandSolder";2;"CP1_Small";;;
4;"J1";"USB_B_OST_USB-B1HSxx_Horizontal";1;"USB_B";;;
5;"J2";"PinHeader_2x03_P2.54mm_Vertical";1;"AVR-ISP-6";;;
6;"R1,R2";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";2;"R";;;
7;"U1";"TQFP-32_7x7mm_P0.8mm";1;"ATmega16U2-AU";;;
8;"Y1";"Crystal_SMD_0603-2Pin_6.0x3.5mm";1;"Crystal";;;
9;"D1";"LED_1806_4516Metric_Pad1.57x1.80mm_HandSolder";1;"LED";;;
